,lang,class,message,created_time,month,year,platform,Unnamed: 0,username
0,taglish,a,"Panic disorder is scary 🥺 I experienced it myself during this pandemic. You'll find yourself nalang na parang gusto mo nalang umiyak dahil sa takot . Lagi kang kinakabahan , hindi ka makatulog ng ayos at sobra akong magisip .",2021-01-24T23:01:40+0000,January,2021.0,Twitter,,
1,filipino,a,"pandemic anxiety talaga parang iniisip ko pa lang na bibiyahe ako para pumasok sa work and maeexpose sa random na mga tao, nakakatakot umuwi. :--((",2020-05-07T16:42:30+0000,May,2020.0,Twitter,,
2,filipino,a,Kung mag extend naman po pwede naman po pauwiin niyo mo na mga nag bobording wala na po kaming makain mamatay po kami sa gutom sana po may makakabasa nito salamat po,2020-04-16 05:27:50+00:00,April,2020.0,Facebook,,
3,filipino,a,Gcq....parang normal na po...nakakatokot lang..kasi sabay sabay na po mga tao na lumalabas....tsaka mga papasok po ng trinidad open na open....ok lang po ba yun......wag na po hintayin ang second wave........salamat po....,2020-05-27 11:18:15+00:00,May,2020.0,Facebook,,
4,filipino,a,nakakatakot parin lumabas kasi may nag positive sa itogon ucab proper,2020-05-30 05:02:39+00:00,May,2020.0,Facebook,,
5,taglish,a,"grabe yung anxiety ko lately, parang yung panic ko last year nung nagsimula ang pandemic bumabalik na naman 😩 sobra ang takot na nararamdaman ko para sa mga magulang ko 😭 plus naaawa ako sa mga pasyenteng critical tapos walang mapuntahan na hospital kasi halos puno na lahat",2021-03-30 19:30:35+00:00,March,2021.0,Twitter,,
6,filipino,a,"True. Ang hirap po kumalma pag may panic at anxiety attack, grabe po panginginig and pwede ring mahirapan huminga, pwede rin iyong sobrang hyper. Ilang beses ko na naranasan every time na may paganap kaya hindi ako madalas nabisita sa account ko na 'to hahaha!  @SB19Official #SB19",2021-04-29 15:51:41+00:00,April,2021.0,Twitter,,
7,filipino,a,saan po sa puguis ang nagpositive? paki inspect po ung ibang minimart at barber shop sa puguis kung nasusunod ang protocols bago pa kumalat.,2020-08-01 02:31:22+00:00,August,2020.0,Facebook,,
8,taglish,a,Yung anxiety ko sa pandemic umaabot hanggang panaginip ko.  I dreamt that I was going around Greenhills with my sister then I had a full on panic attack when someone deliberately breathed (not coughed) on me and I realized I was not wearing a mask.  Kelan ba matatapos to huhu.,2021-03-31 14:56:13+00:00,March,2021.0,Twitter,,
9,filipino,a,kung nararamdaman mo na my covid ka dun ka nalang magpaswab test hindi yung wala kang nararamdaman dun ka nila isaswab test dahil lng sa pera paano kung nagpaswabtest ka negative ka pagktapos nakaramdam ka ng sipon dahil sa klima kapag nagpahospital ka cgurado my covid ka dahil sa pera mahal kasi magpaswabtest eh talaga naman nakakahawa ang sipon kasi virus yun,2021-01-30 16:26:28+00:00,january,2021.0,Facebook,,
10,filipino,a,di kayo mauna mga pa turok mga D.O.H..mauna kayo ng pa turok sa bakuna..kayo na nagsabi safe diba? so ipakita niyo samin mga tao na safe talaga..,2021-01-29 11:32:37+00:00,january,2021.0,Facebook,,
11,filipino,a,mag february na mukang aabutin pa yan ng december wala na naman mamasko nabobobo na mga estudyante sa kaka module dami na din walang trabaho mamatay na tayo sa gutom di sa covid na sinasabi na yan.,2021-01-28 14:51:08+00:00,january,2021.0,Facebook,,
12,filipino,a,ano tapos pag nag pa check up sasabihin niyo may covid eh hindi pinatay niyo rin kami kayo nalang mag pa turok bakit pa kami mag papa turok alam naman naming na simpleng sipon lang pag nagpa check up sasabihin covid gumising nga kayo baka bina bangungot kayo,2021-01-27 05:47:14+00:00,january,2021.0,Facebook,,
13,filipino,a,nakuu kapareho din pala ng sintomas pag ka may covid ka! kayo na muna para malaman namin na wala ngang side effects! hindi naman tayo pare pareho ng kalusugan para tanggapin ng katawan ang bakuna na yan!,2021-01-27 05:49:11+00:00,january,2021.0,Facebook,,
14,english,a,"in our municipality, seniors are top priority. concerned with limited trials for seniors. if vaccine brands are random, how can seniors be assured that the vaccine is contraindicated for vulnerable seniors?",2021-01-30 01:41:40+00:00,january,2021.0,Facebook,,
15,filipino,a,di kayo mauna mga pa turok mga D.O.H..mauna kayo ng pa turok sa bakuna..kayo na nagsabi safe diba? so ipakita niyo samin mga tao na safe talaga..,2021-01-29 11:32:37+00:00,january,2021.0,Facebook,,
16,filipino,a,hirap mag decide sa vaccine walang assurance kasi baka sa iba ok sayo hindi kasi depende sa katawan mo kung kakayanin yung side effect na normal daw na mararanasan after maturukan..mahihilo masusuka lagnat body pains..after maranasan yan tsaka iturok yung 2nd dose..gaano po ba kaepekto ang gamot at gaano kasigurado na walang mangyayaring masama.,2021-02-19 03:47:35+00:00,february,2021.0,Facebook,,
17,filipino,a,mas kabado ako pag nagugutom hindi ako makakatulog kapag may kabag ang tiyan ko kabado ako baka mamatay ako na gutom dahil sa covid na ito.,2021-02-18 12:59:58+00:00,february,2021.0,Facebook,,
18,filipino,a,mga ingat tayo sa bakuna kasi yan talaga ang delikado yan talaga ang nakakamatay kasi marami ng namatay sa bakuna hindi lang pinalabas sa balita,2021-02-17 02:31:31+00:00,february,2021.0,Facebook,,
19,filipino,a,ang daming namamatay lately. sana hindi na dumami yung mga kaso ng uk variant. 🤞,2021-01-26 08:05:40+00:00,january,2021.0,Facebook,,
20,filipino,a,hindi ako natatakot sa fake covid ang kinakatakutan ko yung magugutom dahil nawalan ng kita,2021-03-28 18:50:42+00:00,march,2021.0,Facebook,,
21,english,a,do you have an online database of vaccine reactions because you are vaccinating people of unlicensed and experimental covid vaccines that have been harming and killing people worldwide??,2021-03-27 05:09:04+00:00,march,2021.0,Facebook,,
22,filipino,a,grabe na sinasabi ng doh di niyo na ba titigilan takutin ang mga tao sa gutom kami mamatay dahil gusto niyo palaging i lockdown ang mga lugar di covid kundi kupit ang gusto niyo 😠,2021-03-26 07:54:31+00:00,march,2021.0,Facebook,,
23,filipino,a,"magpa vaccine pero hindi pa din babalik sa normal ang buhay kailangang mag face mask , distancing, andami pa ding restrictions dahil pwede ka pa ding makahawa at mahawaan, e para saan pang nagpa vaccine ka",2021-04-29 10:35:26+00:00,april,2021.0,Facebook,,
24,filipino,a,doh kailan kaya makakuha ng vaccine ang mga seafarer di kami maka alis ng walang vaccine mandatory sa kompanya namin lahat na ng lugar na may nag vavaccine pinuntahan ko na pero wala pa daw ang pang ofw at seafarer doque ano na may pamilya din kami jusko,2021-04-29 00:30:44+00:00,april,2021.0,Facebook,,
25,filipino,a,kung nararamdaman mo na my covid ka doon ka nalang magpaswab test hindi yung wala kang nararamdaman doon ka nila isaswab test dahil lang sa pera paano kung nagpaswabtest ka negative ka pagkatapos nakaramdam ka ng sipon dahil sa klima kapag nagpahospital ka cgurado may covid ka dahil sa pera mahal kasi magpaswabtest eh talaga naman nakakahawa ang sipon kasi virus yun,2021-01-30 16:26:28+00:00,january,2021.0,Facebook,,
26,filipino,a,ang daming vaccine para daw sa mga sakit pero bakit ang mga tao magkakasakit parin at mamamatay.mapupuno nalang sa turok ang katawan ng tao pero mamamatay parin .so anong silbi ng bakuna?may bakuna bang makapag prevent ng kamatayan?,2021-04-28 13:42:31+00:00,april,2021.0,Facebook,,
27,filipino,a,paano nyo nalalaman na nakapagbigay ng proteksyon ang covid vaccine laban sa covid kung hindi nyo nalalaman kung ano ba talaga ang tunay na gamot sa covid? wala pa kayong proof na epektibo and covid vaccine laban sa covid dahil on trial pa lang sa tao lahat ng covid vaccine kung baga experimental palang lahat.,2021-04-28 13:06:17+00:00,april,2021.0,Facebook,,
28,filipino,a,walang silbe ang bakuna kung may side effect ito pabakuna ka tapos mahawaan ka pa rin pala ng covid useless lang yan dapat yan gamot mahal ng bakuna wala naman palang kasiguraduhan ang buhay pagnaturukan ka,2021-04-25 11:09:49+00:00,april,2021.0,Facebook,,
29,english,a,"the conventional vaccine is useless in battling the virus that continues to mutate. is doh ready for a mutation that is fatal and fast spreading, like the brasil and india variant? this is not far to occur because until now the infection has not yet flattened. wake up doh, before it's too late. 😭😭😭",2021-04-25 08:47:14+00:00,april,2021.0,Facebook,,
30,taglish,a,checking lang po. is it safe na ilibing (not cremated) ang namatay sa covid? sa aming probinsya sa magsaysay occidental mindoro nakabalot lang ng body bag at binabaon.. safe po ba ito sa community?,2021-04-24 21:25:49+00:00,april,2021.0,Facebook,,
31,filipino,a,maraming health worker ayaw din magpavaccine... dahil alam nila ang panganib... kung sino gusto magpa vaccines sila lang turukan niyo... stop the lockdown... maawa kayo sa simpleng mamamayan... wala ng hanap buhay lalo niyo pang pinapahirapan dahil sa protocols niyo doh at w.h.o 🤬🤬🤬🤬🇵🇭,2021-04-22 03:11:33+00:00,april,2021.0,Facebook,,
32,taglish,a,they want to still deny the true effect of vaccine nasaan na ng malaman yang masamang epekto ng vaccine may mga nangamamatay na sa mga natuturukan maraming testimony ng kamatayan after covid vaccine ...bakit magpapabakuna pa,2021-04-22 03:50:11+00:00,april,2021.0,Facebook,,
33,english,a,"i hope that the doh, will have an update with their health protocols. if the covid patients had undergo quarantine for more than 14 days and asymptomatic, please let them return to their normal routines. they are not infectious anymore. please have updates. that's very important. philippines has a very slow health care system. ",2021-04-21 12:34:12+00:00,april,2021.0,Facebook,,
34,filipino,a,para wala kayong pangamba wag na kayong magpabakuna patuloy naman tayong nabubuhay kahit walang bakuna baka pag nagpa bakuna kayo yan pa ang ika pahamak niyo,2021-04-19 06:46:15+00:00,april,2021.0,Facebook,,
35,filipino,a,kelan ba kayo mag popost ng covid free dito sa bansa nato!!! puta kasi ehh!!! kahit hindi covid ang sakit ilalagay covid narin... tapos binibilang may sipon ubo sa bansa!!!! papaano tayo makakaalis sa hayop na covid na yan!!!! natural sakit ng tao ginagawang katatakutan ng doh!!! yan oh!!!!! hay buhay!!!!!!! 😤😤😤😤😤😤😤🤬🤬🤬🤬🤬 balik niyo nasa normal ang bansa natin tigilan niyo na katarantaduhan niyo doh di na kami naniniwala sa inyo!!!! puro kayo mema post at fakenews!!!!!!!!!,2021-04-17 11:45:12+00:00,april,2021.0,Facebook,,
36,filipino,a,pag may sore throat wag pumunta ng ospital sure covid agad yan uminom ng luya yun lang,2021-04-18 05:06:14+00:00,april,2021.0,Facebook,,
37,filipino,a,kaya nga mas marami ang namamatay kasi ginagawa na nilang sardinas ang mga hospital... ang covid ay lubhang nakakahawa... bakit mo dadalhin sa mga hospital ang mga nahawa sa covid... dapat sa malayo sa mga kabahayan... tulad sa ritm sa muntinlupa city walang mga nakatira sa paligid nito mula noon pa ay doon dinadala ang mga may nakakahawa sakit para doon gamutin...,2021-04-14 03:43:14+00:00,april,2021.0,Facebook,,
38,filipino,a,"mae xi eh papaano ba naman. matapos mabakunahan, nagkaroon ng sintomas ng covid, inuulit ang pcr test, e di syempre magpa positive kasi ka iintroduce lang nila ng antigen ng covid. tapos isasama na nila sa active case.. hay buhay. saka karamihan sa pcr test na yan false positive at sasabihin nila asymptomatic. ang mga bansa na susunod sunuran sa who ang siyang matataas ang cases....",2021-04-12 13:51:00+00:00,april,2021.0,Facebook,,
39,filipino,a,"kamusta naman po yung mga narecord na positive cases? asymptomatic to severe cases po? puro recordings nalang po ba?please improve your strategies, hindi po puro ecq lang ang solusyon?? please improve covid prevention management... vaccine?? yes its one of the solution.. tama! pero ang bagal po ee.. so bakit di pa siguro nababakunahan dapat proper icontrol po ang spread diba? thats why asking for improvement🙂",2021-04-11 00:52:17+00:00,april,2021.0,Facebook,,
