,lang,class,message,created_time,month,year,platform,username
0,taglish,a,"Panic disorder is scary 🥺 I experienced it myself during this pandemic. You'll find yourself nalang na parang gusto mo nalang umiyak dahil sa takot . Lagi kang kinakabahan , hindi ka makatulog ng ayos at sobra akong magisip .",2021-01-24T23:01:40+0000,January,2021.0,Twitter,
1,filipino,a,"pandemic anxiety talaga parang iniisip ko pa lang na bbyahe ako para pumasok sa work and maeexpose sa random na mga tao, nakakatakot umuwi. :--((",2020-05-07T16:42:30+0000,May,2020.0,Twitter,
2,filipino,n,buti satin wala current sa baguio meron nanaman 😢😢,2020-04-15 09:19:51+00:00,April,2020.0,Facebook,
3,taglish,n,Much that I want to say wow... But Wala pa tayong massive testing. Huwag tayong maging kampante. Baguio had no new cases for thirteen days ... And then biglang merong dalawang magkasunod,2020-04-15 10:19:08+00:00,April,2020.0,Facebook,
4,filipino,a,Kung mag extend naman po pwede naman po pauwiin niyo mo na mga nag bobording wala na po kaming makain mamatay po kami sa gutom sana po may makakabasa nito salamat po,2020-04-16 05:27:50+00:00,April,2020.0,Facebook,
5,filipino,a,Gcq....parang normal na po...nakakatok lang..kasi sabay sabay na po mga tao na lumalabas....tsaka mga papasok po ng trinidad open na open....ok lang po ba yun......wag na po hintayin ang second wave........salamat po....,2020-05-27 11:18:15+00:00,May,2020.0,Facebook,
6,filipino,a,nakakatakot parin lumabas kasi may nag positive sa itogon ucab proper,2020-05-30 05:02:39+00:00,May,2020.0,Facebook,
7,filipino,n,tama ka paano matatapos itong Lockdown kung Papasok mga galing abroad,2020-05-11 09:25:29+00:00,May,2020.0,Facebook,
8,filipino,n,Paano Naman mapipigilan ang covid Kung may nakakapasok na galing ibang bansa....,2020-05-17 01:04:42+00:00,May,2020.0,Facebook,
9,filipino,a,Any updates kung nag negative sa swab test ang mga na close contacts ng mga nagpositive? Mahirap kasi econtain yung virus kung matagal mismong mga close contact parang sila pa yung pasaway kahit naka lockdown pa sila.,2020-06-16 03:24:59+00:00,June,2020.0,Facebook,
10,filipino,a,Sana yung vegetable truck wag NG pababain..sana hanggang boundary lang tpos may magpick up na taga baba din nga truck..para sa safety NG lahat... opinion ko lang yan,2020-06-07 03:37:12+00:00,June,2020.0,Facebook,
11,taglish,a,OMG. DAPAT DI TAYO MGCQ TAYO. BACK TO GCQ. DAPAT HINDI TAYO KAMPANTI MGA KAKAILYANS. DI NATIN MAKITA ANG KALABAN. SO PRAYERS IS POWERFUL TO THOSE WHO GOT INFECTED. AND FOR ALL OF US. STAY HOME AND BE SAFE. GOD BLESS EVERYONE. AMEN.,2020-06-17 14:26:57+00:00,June,2020.0,Facebook,
12,taglish,n,We may know po kung saang area nakadetail yong nagpositive na municipal employee.,2020-06-18 02:53:36+00:00,June,2020.0,Facebook,
13,english,a,Ibalik nalang ang ecq.,2020-06-18 04:27:51+00:00,June,2020.0,Facebook,
14,english,a,With the movement of people so does the virus.,2020-06-18 04:04:20+00:00,June,2020.0,Facebook,
15,filipino,a,"Rems Tilika nawalan ng saysay yung ""to heal as one act"" because of that mass gathering alam na nga nilang dumarami kaso dito la trinidad 😰 Sana lang wala ng maidagdag pa na bagong kaso. ",2020-06-18 13:43:46+00:00,June,2020.0,Facebook,
16,filipino,a,saan kaya naka duty yang mga security guards na yan baka nakasalamuha ko? Maraming positive sa La Trinidad pero parang wala na akong nababalitaan na may lockdows sa mga baranggay na may infected. Buti pa sa ibang munisipyo ng Benguet talagang binibigyan nila ng pansin. Dito sa La Trinidad kulang kulang pa information.,2020-08-05 10:26:22+00:00,August,2020.0,Facebook,
17,filipino,a,So what is your course of action po? Last week pa pong maraming nagpositive dito sa LT pero wala kaming naririnig na lockdown or disinfection? Give us an info na Pwede naming malaman baka nakasalamuha namin yang mga nagpositive lalo na yang mga SGs. Asikasuhin niyo naman kahit konti!,2020-08-05 12:37:46+00:00,August,2020.0,Facebook,
18,filipino,a,saan po sa puguis ang nagpositive?paki inspect po ung ibang minimart at barber shop sa puguis kung nasusunod ang protocols bago pa kumalat.,2020-08-01 02:31:22+00:00,August,2020.0,Facebook,
19,filipino,n,Just wondering why wala na lock down sa mga lugar na to?,2020-08-01 04:42:40+00:00,August,2020.0,Facebook,
20,taglish,n,"Cases are increasing but no lockdown.  Ang dami ba naman kasing gumagala kahit madaling araw , paanung hindi mahahawa ang mga tao kung hindi stricto ang munisipyo mismo,  sa sinasakupan nito",2020-08-18 00:19:08+00:00,August,2020.0,Facebook,
21,filipino,a,Sana po iditalyado po ninyo mga barangays na lifted na ng lockdown. Na may coresponding kung kailan na lift. Baka wala yata lockdown sa trinidad kase di strikto parang normal lang kahit may positive,2020-08-10 06:58:33+00:00,August,2020.0,Facebook,
22,english,a,Praying for everyone fast recovery. Sana if possible avoid wearing DIY mask instead use surgical mask and faceshield.😣😷😷😷,2020-08-13 08:59:26+00:00,August,2020.0,Facebook,
23,filipino,n,"almost 2 to 3 months nako dito sa loob ng boarding at lumalabas lang sa araw ng check up ko tapos nung nag ka free swap test yun din ang huling labas ko and then kinabukasan may result agad na ganon daw,samantalang ang kasama ko na nag pa swab test pareho lang ang pag gamit namin ng plate baso kutyara,at after 4days palang lumabas ang result negative pano mangyayari yun kayo na humusga",2020-12-21 06:01:23+00:00,December,2020.0,Facebook,
24,filipino,n,ba yan habang lumalamig ang panahon padami naman ng padami ang case😔😔😔,2021-01-15 09:42:27+00:00,January,2021.0,Facebook,
25,filipino,a,Pakiexplain po pano tumalon bigla ang cases,2021-02-27 11:18:16+00:00,February,2021.0,Facebook,
26,english,a,From 84 to 176 in one day. What happened?,2021-02-26 19:10:59+00:00,February,2021.0,Facebook,
27,filipino,n,sila lang dapat magpa bakuna hindi nila mapiplit yung ayaw,2021-01-19 14:10:39+00:00,january,2021.0,Facebook,
28,filipino,n,"may recoveries pala ang covid-19, ayaw niyo lang sabihin kung ano ang gamot...😁😁😁",2021-01-19 14:15:58+00:00,january,2021.0,Facebook,
29,filipino,a,kung nararamdaman mo na my covid ka dun k nlng magpaswab test ndi ung wala kang nararamdaman dun k nila isswab test dahil lng sa pera paano kung nagpswabtest k negative k pagktapos nkaramdam k ng sipon dahil sa klima kapag nagpahospital ka cgurado my covid ka dahil sa pera mahal kc magpswabtest eh talaga naman nkkahawa ang sipon kc virus un,2021-01-30 16:26:28+00:00,january,2021.0,Facebook,
30,english,a,"in our municipality, seniors are top priority. concerned with limited trials for seniors. if vaccine brands are random, how can seniors be assured that the vaccine is contraindicated for vulnerable seniors?",2021-01-30 01:41:40+00:00,january,2021.0,Facebook,
31,filipino,n,midwives papa bigay nyo ng bakuna (injection) e hindi nga authorized sila magbigay ng gamot sa ospital di po ba?,2021-01-29 11:24:22+00:00,january,2021.0,Facebook,
32,filipino,a,di kayo mauna mga pa turok mga D.O.H..mauna kayo mg pa turok sa bakuna..kayo na nagsabi safe diba?so ipakita niyo samin mga tao na safe talaga..,2021-01-29 11:32:37+00:00,january,2021.0,Facebook,
33,filipino,a,mag february na mukang aabutin pa yan ng december wala na naman mamasko nabobobo na mga estudyante sa kaka module dami na din walang trabaho mamatay na tayo sa gutom di sa covid na sinasabi na yan.,2021-01-28 14:51:08+00:00,january,2021.0,Facebook,
34,filipino,n,mamamatay kami sa gutom hindi sa covid,2021-01-28 14:56:12+00:00,january,2021.0,Facebook,
35,filipino,n,puro kayo covid kahit namatay sa ibang sakit sasabihin covid. kahit my ubo sipon kahit hindi naman covid ipapalabas nyo covid ..mga pulubi sa kalsada nangangalakal ng basura walang mask fshield ni dinga tinatamaan ng covid kuno. wala ka nga mkikitang taong grasa jan sa kalsada na nakabulagta na namatay sa covid eh.... anu ba kayo who doh. bagsak na ekonomiya ng bansa trillion na utang ng pilipinas dahil sa pandemic. sana binibigyan din ng pansin ng gobyerno natin yan mga nawalan ng trabaho hanapbuhay hindi yung puro covid nalang lagi pinapansin nyo. bagsak na ekonomiya abah,2021-01-28 10:41:22+00:00,january,2021.0,Facebook,
36,filipino,a,andami nang namamatay,2021-01-28 08:05:34+00:00,january,2021.0,Facebook,
37,filipino,n,"lahat na klase ng sakit known to earth ay tumigil muna para pagbigyan ang covid. lahat na namatay ,kahit nasagasaan ng kareton, ay covid ang dahilan. covid is money!",2021-01-28 08:10:02+00:00,january,2021.0,Facebook,
38,filipino,a,dami na naman tapos namamatay dami na din,2021-01-27 08:05:51+00:00,january,2021.0,Facebook,
39,taglish,a,"hay naku libo libo ang nadadagdagan ng covid cases sa buong philippines. wala kaming kasalanan sa inyo mga government. masunurin na nga kami sa health protocols pero mataas padin ang new cases covid sa bansa. ano ba iyan sobrang taas na nga ang total confirmed covid cases 500,000+ na nga eh. hayna hindi naman kami lumalabag sa health protocols, hindi rin naman kami lumalabas pero bakit ganoon padin mataas padin ang covid cases sa philippines.",2021-01-27 08:05:56+00:00,january,2021.0,Facebook,
40,filipino,a,ano tapos pag nag pa check up sasabihin niyo may covid eh di pinatay niyo rin kami kayo nalang mag pa turok bakit pa kami mag papa turok alam naman naming na simpleng sipon lang pag nagpa check up sasabihin covid gumising nga kayo baka bina bangungot kayo,2021-01-27 05:47:14+00:00,january,2021.0,Facebook,
